,ENGLISHNAME,CHINESENAME,CLASS,TYPE,EASTING,NORTHING,E_ADDRESS,C_ADDRESS,Sources
17,UNITED MUSLIM ASSOCIATION OF HONG KONG HAJI OMAR RAMJU SADICK CARE AND ATTENTION HOME,香港穆斯林聯會哈智林世德護老院,HNC,ELD,815355.0,827469.0,"G/F., HIGH BLOCK, OI YEE HOUSE, YAU OI ESTATE, TUEN MUN, NEW TERRITORIES",新界屯門友愛邨愛義樓高座地下,GeoCom
18,TUNG KONG (WAH FU) SANATORIUM,東江（華富）安老院,HNC,ELD,832096.0,812378.0,"121, 123-134, WAH HONG HOUSE, WAH FU (1) ESTATE, HONG KONG","香港華富(一)邨華康樓121, 123-134室",GeoCom
25,GRAND RESIDENCE,嘉頤薈,HNC,ELD,838510.255,826123.612,"LG/F (PORTION) AND UNIT 1 ON L1/F, MING CHUEN HOUSE, SHUI CHUEN O ESTATE, SHA TIN, NEW TERRITORIES",新界沙田水泉澳邨明泉樓L1層1室及地下低層（部分）,GeoCom
30,SHUI HONG NURSING HOME (CHEUNG SHAN ESTATE BRANCH),瑞康護老中心（象山邨分院）,HNC,ELD,831479.0,826590.0,"SHOP RB1, 4/F, CHEUNG SHAN ESTATE SHOPPING CENTRE, CHEUNG SHAN ESTATE, TSUEN WAN, NEW TERRITORIES",新界荃灣象山邨象山邨商場四樓RB1號舖,GeoCom
31,POK OI HOSPITAL TAI KWAN CARE & ATTENTION HOME,博愛醫院戴均護理安老院,HNC,ELD,817810.0,835269.0,"G/F-2/F & KW307, SHUI KWOK HOUSE, TIN SHUI ESTATE, TIN SHUI WAI, YUEN LONG, NEW TERRITORIES",新界元朗天水圍天瑞邨瑞國樓地下至2字樓及KW307室,GeoCom
125,,沙頭角天后廟,REM,TMP,840848.419,844943.342,,新界沙頭角沙頭角天后廟,GeoCom
169,Yau Ma Tei Public Library,油蔴地公共圖書館,CUF,LIB,835550.0,818932.0,"Block A, G/F & 1-3/F, 251 Shanghai Street, Yau Ma Tei, Kowloon",九龍油麻地上海街251號地下A座及1至3樓,GeoCom
171,SUNSHINE HOUSE INTERNATIONAL PRE-SCHOOL (TUNG CHUNG),SUNSHINE HOUSE INTERNATIONAL PRE-SCHOOL (TUNG CHUNG),SCH,KDG,811775.0,816739.0,TUNG CHUNG CRESCENT NO 2 MEI TUNG STREET TUNG CHUNG LANTAU ISLAND NEW TERRITORIES (INCLUDING CHILD CARE CENTRE),新界大嶼山東涌美東街２號東堤灣畔（包括幼兒中心）,GeoCom
174,PEARLWHITE INTERNATIONAL LIMITED,珍珠白國際有限公司,AMD,GHS,835880.0,817491.0,"Flat E3, 15/F, Block E, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈E座15字樓E3室,GeoCom
175,VICTORIA (HOMANTIN) INTERNATIONAL KINDERGARTEN,維多利亞(何文田)國際幼稚園,SCH,KDG,836515.0,819424.0,"G/F., CARMEL-ON-THE-HILL, 9 CARMEL VILLAGE STREET, HOMANTIN, KOWLOON",九龍何文田迦密村街9號君逸山地下,GeoCom
176,MULBERRY TREE INTERNATIONAL KINDERGARTEN,童樂天國際幼稚園,SCH,KDG,838379.0,826680.0,"LEVEL 3, SHATIN PARK, STAGE 1, 8-12 SHA KOK STREET SHATIN, NEW TERRITORIES",新界沙田沙角街8-12號花園城第一期三樓,GeoCom
177,YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN),YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN),SCH,KDG,818436.0,825940.0,"KINDERGARTEN PREMISES, LE PONT, NO. 99 SO KWUN WAT ROAD, TUEN MUN, NEW TERRITORIES",新界屯門掃管笏路99號上源幼稚園校舍,GeoCom
178,YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN),YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN),SCH,KDG,818436.0,825940.0,"KINDERGARTEN PREMISES, LE PONT, NO. 99 SO KWUN WAT ROAD, TUEN MUN, NEW TERRITORIES",新界屯門掃管笏路99號上源幼稚園校舍,GeoCom
179,THE HAPPY VALLEY & CANAL ROAD DISTRICT KAI-FONG WELFARE ASSOCIATION KINDERGARTEN,跑馬地鵝頸橋區街坊福利會幼稚園,SCH,KDG,837109.0,814476.0,"G/F.-2/F., 14 KING KWONG STREET, HAPPY VALLEY, HONG KONG",香港跑馬地景光街14號地下至2樓,GeoCom
180,ST. PAUL'S CATHOLIC DAY NURSERY,天主教聖保祿幼兒園,SCH,KDG,835422.0,834223.0,"28 WAN TAU STREET, TAI PO, NEW TERRITORIES",新界大埔運頭街28號,GeoCom
181,YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN),YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN),SCH,KDG,818436.0,825940.0,"KINDERGARTEN PREMISES, LE PONT, NO. 99 SO KWUN WAT ROAD, TUEN MUN, NEW TERRITORIES",新界屯門掃管笏路99號上源幼稚園校舍,GeoCom
183,THE HAPPY VALLEY & CANAL ROAD DISTRICT KAI-FONG WELFARE ASSOCIATION KINDERGARTEN,跑馬地鵝頸橋區街坊福利會幼稚園,SCH,KDG,837109.0,814476.0,"G/F.-2/F., 14 KING KWONG STREET, HAPPY VALLEY, HONG KONG",香港跑馬地景光街14號地下至2樓,GeoCom
184,MULBERRY TREE INTERNATIONAL KINDERGARTEN,童樂天國際幼稚園,SCH,KDG,838379.0,826680.0,"LEVEL 3, SHATIN PARK, STAGE 1, 8-12 SHA KOK STREET SHATIN, NEW TERRITORIES",新界沙田沙角街8-12號花園城第一期三樓,GeoCom
